Hero,Current_Season_Points,Points
Kassai of the Golden Sand,128,967
"Arakni, Marionette",235,879
Dash I/O,45,875
"Cindra, Dracai of Retribution",50,870
"Fai, Rising Rebellion",8,863
"Katsu, the Wanderer",38,783
"Bravo, Showstopper",0,776
Dorinthea Ironsong,15,758
"Oscilio, Constella Intelligence",145,731
"Gravy Bones, Shipwrecked Looter",125,534
"Ser Boltyn, Breaker of Dawn",0,417
"Uzuri, Switchblade",0,405
"Rhinar, Reckless Rampage",0,362
"Vynnset, Iron Maiden",38,296
Jarl Vetreiði,65,268
"Arakni, Huntsman",15,259
"Levia, Shadowborn Abomination",0,200
"Arakni, 5L!p3d 7hRu 7h3 cR4X",0,193
"Fang, Dracai of Blades",0,153
"Ira, Scarlet Revenger",5,131
"Riptide, Lurker of the Deep",0,98
Maxx ‘The Hype’ Nitro,0,85
"Pleiades, Superstar",5,50
"Teklovossen, Esteemed Magnate",8,49
"Puffin, Hightail",25,43
"Kayo, Underhanded Cheat",0,29
"Valda, Seismic Impact",0,28
"Marlynn, Treasure Hunter",0,21
Zyggy Starlight,13,13
"Olympia, Prized Fighter",0,7
"Betsy, Skin in the Game",0,7
"Tuffnut, Bumbling Hulkster",0,5
"Lyath Goldmane, Vile Savant",0,3
"Aurora, Legacy of Tempest",0,0
"Hala, Bladesaint of the Vow",0,0
"Oscilio, Forked Continuum",0,0
